Name,Description,Address,Website ,Outdoor/Indoor,"Budget per person 

Free
Low ($1-$20)
High ($20+)","What kind of vibe are you looking for?

Chill/ Sport / Study/ Social/ Romantic","Distance from residence

short (0-3 km)
medium (3 - 5 km)
high (5+km)",Food available? (Y/N),Plugs/outlets available? (Y/N),Free Wifi available?,Do you want a Quiet or crowded place?,Wheelchair accessible?,Friday Timings,Saturday Timings,Sunday Timings
Dolores Park,Vibrant park known for its stunning views of downtown SF.,19th street,https://sfrecpark.org/facilities/facility/details/Mission-Dolores-Park-188,Outdoor,Free,"Romantic, Chill, Social",Short,N,N,N,Crowded,Y,6:00AM - 10:00PM,6:00AM - 10:00PM,6:00AM - 10:00PM
Downtown First Thursdays,"A monthly art and culture night where museums, galleries, and local businesses in downtown areas open late with free or discounted admission, special exhibits, and live performances.",Between Market & Howard,https://www.dftsf.com/,Outdoor,Low,"Social, Chill",Short,Y,N,N,Crowded,Y,9:00AM - 5:30PM,9:00AM - 5:30PM,9:00AM - 5:30PM
Balloon Museum,The museum of inflatable art with 60 artists from around the globe.,Palace of Fine Arts,https://tickets.balloonmuseum.world/emotion-air-san-francisco/,Indoor,Low,"Social, Chill",Medium,N,N,Y,Crowded,Y,11:00AM - 8:00PM,10:00AM - 9:00PM,10:00AM - 8:00PM
Asian Art Museum,One of the largest museums in the Western world devoted exclusively to Asian art.,Larkin Street,https://asianart.org/?gad_source=1&gad_campaignid=21002195167&gclid=Cj0KCQjwqv2_BhC0ARIsAFb5Ac9JjXW2mpFTOjkJRc7lv_iL_1c0v5G2F2ThPgxyWKOT8Zqk7aieWxIaAoZREALw_wcB,Indoor,Low,"Social, Chill",Short,N,Y,Y,Quiet,Y,10:00AM - 5:00PM,10:00AM - 5:00PM,10:00AM - 5:00PM
Queen Wilhelmina Tulip Garden,A peaceful spot in Golden Gate Park with beautiful tulips and great views of a windmill.,"1690 John F Kennedy Dr, SF",https://sfrecpark.org/908/Golden-Gate-Park---Queen-Wilhelmina-Gard,Outdoor,Free,Chill,High,N,N,N,Quiet,Y,12:00AM - 11:59 PM,12:00AM - 11:59 PM,12:00AM - 11:59 PM
Painted Ladies,The Painted Ladies are a famous row of colorful old houses in San Francisco with a great view of the city skyline behind them.,"San Francisco, CA 94117",https://www.sftravel.com/things-to-do/attractions/iconic-sf/painted-ladies,Outdoor,Free,"Chill, Social, Romantic",Medium,N,N,N,Crowded,Y,12:00AM - 11:59 PM,12:00AM - 11:59 PM,12:00AM - 11:59 PM
Fishermans wharf,"Fisherman’s Wharf is a fun waterfront area in San Francisco with seafood, shops, street performers, and views of the bay.",Beach street,https://www.fishermanswharf.org/,Outdoor,Low,"Chill, Social, Romantic",Medium,Y,N,N,Crowded,Y,12:00AM - 11:59 PM,12:00AM - 11:59 PM,12:00AM - 11:59 PM
Golden Gate Park,"The largest park in San Francisco with gardens, museums, trails, and plenty of space to relax or explore.","501 Stanyan St, San Francisco",https://sfrecpark.org/770/Golden-Gate-Park,Outdoor,Free,"Chill, Social, Romantic, Sport",Medium,N,N,N,Quiet,Y,12:00AM - 11:59 PM,12:00AM - 11:59 PM,12:00AM - 11:59 PM
Ina Coolbrith Park,A small and quiet park on a hill with views of San Francisco and a peaceful place to sit or take photos.,"Vallejo & Taylor, Vallejo Street",https://sanfranciscoparksalliance.org/explore-parks/ina-coolbrith-park/,Outdoor,Free,"Chill, Social, Romantic",Short,N,N,N,Quiet,N,5:00AM - 12:00AM,5:00AM - 12:00AM,5:00AM - 12:00AM
San Francisco Botanical Garden,"Garden located in Golden Gate Park with variety of plants and trees, perfect for a relaxing walk.",9th Avenue,https://gggp.org/san-francisco-botanical-garden/,Outdoor,Low,"Chill, Social, Romantic",High,N,N,N,Quiet,Y,7:30AM - 6:00PM,7:30AM - 6:00PM,7:30AM - 6:00PM
Strawberry Hill,Small hill in Stow Lake with easy trails and great views of the park.,Golden Gate Park,https://en.wikipedia.org/wiki/Strawberry_Hill_(San_Francisco),Outdoor,Free,"Chill, Sport, Social, Romantic",High,N,N,N,Quiet,N,9:00 AM - 6:00PM,9:00 AM - 6:00PM,9:00 AM - 6:00PM
Pioneer Park,"Quiet park with nice walking paths and great views of San Francisco, located near Coit Tower.",Telegram Hill Boulevard,https://maps.app.goo.gl/VVk6ime2wVdmyF7fA?g_st=com.google.maps.preview.copy ,Outdoor,Free,"Chill, Social, Romantic",Short,N,N,N,Quiet,Y,5:00AM - 12:00AM,5:00AM - 12:00AM,5:00AM - 12:00AM
AndyTown Salesforce,"Cozy cafe known for its delicious drinks, and a relaxed atmosphere, perfect for a quick stop or a chill hangout","Rooftop, Park Level, 181 Fremont St, San Francisco, CA 94105",https://www.andytownsf.com/locations?srsltid=AfmBOopalwo_B552eDfWKsWu5wFWE6ITzZCe0bDOoqDBrAcTrXyEr2PG,Indoor,Low,"Study, Chill, Social",Short,Y,Y,Y,Quiet,Y,8:00AM - 3:00PM,9:00AM - 3:00PM,9:00 - 3:00PM
SFF Mission Bay,"You can play soccer here, solo or with your friends. There are 2 grounds available. You need to pre-register to play here through the website. Refreshment available outside the grounds.","701 Mission Bay Boulevard North, San Francisco, CA 94158",https://www.sffsoccer.com/,Outdoor,Free,"Sport, Social",Short,Y,N,N,Crowded,Y,12:00AM - 11:59PM,12:00AM - 11:59PM,12:00AM - 11:59PM
Benchmark Climbing,An idoor climbing gym. First time is free if you go with an existing member (free beer too).,"1414 Van Ness Ave, San Francisco, CA 94109",https://www.benchmarkclimbing.com/,Indoor,High,"Sport, Social",Short,Y,Y,Y,Crowded,N,11:00AM - 10:00PM,10:00AM - 7:00PM,10:00AM - 7:00PM
YMCA,"This facility has mulitple offerings like a gym, swimming pool, badminton court, basketball court, etc. You need to be a member but you can visit for free with an existing member.","169 Steuart St, San Francisco, CA 94105",https://www.ymcasf.org/location/embarcadero-ymca/,Indoor,High,Sport,Short,N,Y,Y,Crowded,Y,5:30AM - 9:00 PM,7:00 AM - 2:00 PM,Closed
The Crossing,"You can play paddle here, solo or with your friends. There are 2 courts available. You need to pre-register to play here through the website. Refreshment available outside the courts.","250 Main St, San Francisco, CA 94105",https://www.eastcutcrossing.com/,Outdoor,High,"Sport, Social",Short,Y,N,Y,Crowded,Y,9:00AM - 9:00PM,9:00 AM - 9:00 PM,9:00 AM - 9:00 PM
Lands End,A very scenic hike on the west end of San Francisco. There's a beach too so dont forget to pack your swimming suits!!!,"680 Point Lobos Ave, San Francisco, CA 94121",https://www.nps.gov/goga/planyourvisit/landsend.htm,Outdoor,Free,"Sport, Social",Medium,N,N,N,Quiet,Y,12:00AM - 11:59 PM,12:00AM - 11:59 PM,12:00AM - 11:59 PM
China Camp State Park,This state park allows visitors to camp. They provide a fire pit and toilets. You'll be surrounded by nature and lot's of peace. Don't forget to take your camping gear and food. Firewood is available at site.,"101 Peacock Gap Trail, San Rafael, CA 94901",https://friendsofchinacamp.org/,Outdoor,High,"Chill, Sport, Social, Romantic",High,N,N,N,Quiet,Y,8:00 AM - 7:30PM,8:00 AM - 7:30PM,8:00 AM - 7:30PM
Joe & the Juice,"With modern interiors, ambient music, and ample seating, it’s a great place for casual studying or light laptop work.",235 Montgomery St.,https://www.joejuice.com/,Indoor,Low,"Chill, Study, Social",Short,Y,Y,Y,Crowded,Y,6:30 AM - 8:00 PM,7:00 AM - 8:00 PM,7:00 AM - 8:00 PM
Peets Coffee,"With modern interiors, ambient music, and ample seating, it’s a great place for casual studying or light laptop work.",773 Market street,"https://www.peets.com/pages/store-locator?stockist-query=San%20Francisco,%20CA,%20USA&selected=773%20Market%20St.",Indoor,Low,"Chill, Study, Social",Short,Y,Y,Y,Crowded,Y,5:30 AM - 5:00 PM,5:30 AM - 5:00 PM,5:30 AM - 5:00 PM
Blue Bottle,"Known for its minimalist decor and artisanal brews, this cafe offers a quiet, aesthetically pleasing space. Great for studying or just hanging out with friends. ",705 Market Street,https://bluebottlecoffee.com/us/eng,Indoor,Low,"Chill, Study, Social",Short,Y,Y,Y,Quiet,Y,6:30 AM - 5:30 PM,6:30 AM - 5:30 PM,6:30 AM - 5:30 PM
Motoring coffee,"Known for its minimalist decor and artisanal brews, this cafe a quiet, aesthetically pleasing space. Great for studying or just hanging out with friends. ",1525 Union street,https://www.motoring.coffee/,Indoor,Low,"Chill, Study, Social",Short,Y,N,Y,Quiet,Y,7:00AM - 6:00PM,7:00 AM - 6:00 PM,7:00 AM - 6:00 PM
Cafe Reveille,"Known for its minimalist decor and artisanal brews, this cafe offers a quiet, aesthetically pleasing space. Great for studying or just hanging out with friends. ",1998 Polk street,https://www.cafereveille.com/,Indoor,Low,"Chill, Study, Social",Short,Y,Y,Y,Quiet,Y,7:30AM - 7:30 PM,7:30AM - 7:30 PM,7:30AM - 7:30 PM
Him Mark Lai Branch Library,"Public library offering materials to read, plus Wi-Fi and computers.",1135 Powell street,https://sfpl.org/locations/chinatown,Indoor,Free,Study,Short,N,Y,Y,Quiet,N,1:00PM - 6:00 PM,10:00AM - 6:00 PM,1:00PM - 5:00 PM
Mission Bay Branch Library,This branch features an in-library use laptop program and multiple study rooms. One of the 29 branches of the San Francisco Public Library. Local branches have Internet access with varying policies.,960 4th street,https://sfpl.org/locations/mission-bay,Indoor,Free,Study,Short,N,Y,Y,Quiet,Y,1:00PM - 6:00 PM,10:00AM - 6:00 PM,1:00PM - 5:00 PM
SF Public Library,"This beautiful, impressive modern structure opened in 1996 and contains seven stories of books and exhibits.",100 Larkin Street,https://sfpl.org/locations/main-library,Indoor,Free,Study,Short,N,Y,Y,Quiet,N,12:00PM - 6:00PM,10:00PM - 6:00PM,12:00PM - 6:00PM
Potrero Branch Library,Potrero Branch Library was the 22nd branch established in the San Francisco Public Library system and has a history that dates back to the 1890s.,1616 20th Street,https://sfpl.org/locations/potrero,Indoor,Free,Study,Short,N,Y,Y,Quiet,Y,1:00 PM - 6:00 PM,10:00PM - 6:00PM,1:00PM - 5:00PM
Golden Gate Valley Branch Library,,1801 Green Street,https://sfpl.org/locations/golden-gate-valley,Indoor,Free,Study,Short,N,Y,Y,Quiet,Y,1:00 PM - 6:00 PM,10:00PM - 6:00PM,1:00PM - 5:00PM
